종합건강검진,메디체크 종합검진,"일반적으로 성인에게서 많이 나타나는 질환을 중심으로 구성되어 전반적인 건강상태를 점검하기 위해 정기적으로 받아보실 수 있는 프로그램으로, 20~30대 연령대에 추천해드립니다. 검사비용 : 남 34만원대, 여 39만원대"
종합건강검진,메디체크플러스 종합검진,"메디체크종합검진 외 CT검사, 초음파검사 등을 통해 성인기 발생가능한 주요 질환을 점검해 볼 수 있는 검진프로그램으로 30~40대 연령대에 추천해드립니다.
검사비용 : 남 68만원대, 여 79만원대(흉부CT기준)"
종합건강검진,메디체크정밀 종합검진,"메디체크플러스 종합검진 외 다양한 초음파검사, 대장내시경, 골밀도검사 등을 검사할 수 있는 정밀 검진프로그램으로 암, 골다공증 등을 포함하여 40대 이후 중년기 건강을 전반적으로 점검하시고 싶은 분들에게 추천해드립니다. 검사비용 : 남 131만원대, 여 148만원대(흉부CT기준)"
종합건강검진,메디체크정밀플러스 종합검진,"메디체크정밀종합검진 외 종양표지자, 특수혈액검사, 심장CT, MRI 등의 암,심혈관계질환 관련 검사가 추가된 검진프로그램으로 50대 중년기 이후 건강문제를 심도있게 점검하시고 싶은 분들에게 추천해드립니다.검사비용 : 남 265만원대, 여 282만원대(흉부CT, 뇌MRI기준)"
종합건강검진,메디체크PET-CT 정밀종합검진,"MRI와 전신 암을 체크해 볼 수 있는 PET-CT 검사로 50대 중년기 이후 건강문제 전반을 가장 심도있게 점검하시고 싶은 분들에게 추천해드리는 고품격 정밀검진프로그램입니다. (검사가능지부: 서울서부, 부산동부) 검사비용 : 해당지부문의"
국가건강검진,"대상자 선정
(국민건강보험공단)","일반건강검진 대상자는 지역세대주, 직장가입자, 20세 이상 세대원과 피부양자, 20세~64세 의료급여수급권자로 매 2년마다 1회, 비사무직은 매년 실시"
국가건강검진,"건강검진표
발송 및 수령
(국민건강보험공단)","우편발송
1. 지역가입자와 직장 피부양자는 주소지로 우편 발송해 드립니다.
※ 검진표를 분실 또는 수령치 못한 경우에는 가까운 지사에서 재발급 또는 국민건강보험 사이트(건강검진/검진 대상자 확인)에서 검진대상자 확인서를 출력하실 수 있습니다.
※ 직장가입자의 경우 해당 사업장으로 통보됩니다."
국가건강검진,"건강검진
(검진기관)
","공통 검사항목은 진찰, 상담, 신장, 체중, 허리둘레, 체질량지수, 시력, 청력, 혈압측정, AST(SGOT), ALT(SGPT), 감마지티피, 공복혈당, 요단백, 혈청크레아티닌, 혈색소, 신사구체여과율(e-GFR), 흉부방사선촬영, 구강검진

성·연령별 검사항목은 이상지질혈증(총콜레스테롤, HDL콜레스테롤, LDL콜레스테롤, 트리글리세라이드) *남자 24세이상, 여자 40세이상, 4년마다, B형간염검사(40세, 보균자 및 면역자는 제외), 치면세균막검사(40세), 골다공증(54·66세 여성), 정신건강검사_우울증(20·30·40·50·60·70세), 생활습관평가(40·50·60·70세), 노인신체기능검사(66·70·80세), 인지기능장애검사(66세 이상 2년에 1회)"
국가건강검진,"건강검진 결과 통보
(검진기관)","1. 일반건강검진 후 15일 이내 검진기관에서 문진표에 작성한 주소지로 발송
2. 건강위험평가(HRA)"
국가건강검진,"확진검사
(병·의원-협회 포함)","1. 일반 건강검진 결과 고혈압·당뇨병 질환의심자는 일반건강검진결과표와 신분증을 지참하고 가까운 병·의원(상급종합병원 및 종합병원 제외)에서 확진검사 및 진료 실시(의료급여수급권자는 의료전달체계에 따라 가까운 의원에서 실시)
2. 확진검사항목
- 고혈압 : 진찰 및 상담, 혈압측정
- 당뇨병 : 진찰 및 상담, 공복혈당검사"
국가건강검진,건강검진 주의사항,"검진 전날 저녁 9시 이후에는 금식하시기 바랍니 다. 검진 당일 아침 식사는 물론 물, 커피, 우유, 담배, 주스, 껌 등 일체의 음식을 삼가야 합니다. 되도록 오전 중에 검진을 받되, 오후에 검진받으실 분은 검사 전 최소 8시간 이상의 공복상태를 유지해야 합니다. (공복이 아닌 상태에서 검진 시 검사결과가 다르게 나타날 수 있음)"
